map,prec@1,prec@5,prec@10,recall@1,recall@5,recall@10
0.1866,0.3161,0.2733,0.2439,0.0194,0.0819,0.1412
0.1855,0.3281,0.2754,0.2436,0.0198,0.0817,0.1393
0.1871,0.3247,0.2749,0.2451,0.0198,0.0819,0.1414
0.1877,0.331,0.2833,0.2499,0.0199,0.0832,0.1435
0.188,0.3298,0.2827,0.249,0.0201,0.0841,0.1393
0.1882,0.3302,0.2834,0.249,0.0203,0.0844,0.144
